state,total_distributed,total_administered,distributed_per_100K,administered_per_100K,people_with_1plus_doses,people_with_1plus_doses_per_100K,people_with_2_doses,people_with_2_doses_per_100K
Alaska,154325,71907,21096,9829,59449,8126,12352,1688
Alabama,493125,165919,10057,3384,144429,2946,21345,435
Arkansas,361550,173312,11981,5743,144792,4798,26541,879
Arizona,797550,303899,10957,4175,262120,3601,41613,572
California,4379500,1633875,11084,4135,1335886,3381,293834,744
Colorado,657250,353194,11413,6133,296816,5154,54474,946
Connecticut,435075,264707,12203,7425,230913,6477,28602,802
District of Columbia,75175,55108,10652,7808,43377,6146,11685,1656
Delaware,106600,49369,10947,5070,41900,4303,7355,755
Florida,2546050,1239975,11854,5773,1125338,5240,111763,520
Georgia,1162275,453862,10947,4275,407000,3833,39972,376
Hawaii,189675,79414,13396,5609,63282,4469,16132,1139
Iowa,328600,158743,10415,5031,139500,4421,16860,534
Idaho,178175,73372,9970,4106,61118,3420,11760,658
Illinois,1173325,570527,9259,4502,452010,3567,111933,883
Indiana,816025,387137,12121,5751,320266,4757,66801,992
Kansas,312000,130434,10709,4477,111907,3841,17430,598
Kentucky,450175,235143,10076,5263,217837,4876,15699,351
Louisiana,492800,279398,10601,6010,240762,5179,38095,819
Massachusetts,776400,353117,11264,5123,306646,4449,46247,671
Maryland,685325,271905,11336,4498,243450,4027,28106,465
Maine,165175,80502,12288,5989,67133,4994,12071,898
Michigan,1059275,548844,10607,5496,463917,4645,81014,811
Minnesota,652350,259417,11567,4600,213102,3779,46008,816
Missouri,621200,265382,10122,4324,205217,3344,58782,958
Mississippi,334800,136691,11249,4593,124931,4198,11567,389
Montana,112125,60389,10491,5650,50413,4717,9962,932
North Carolina,1157100,473282,11033,4513,406257,3874,66736,636
North Dakota,82850,59245,10872,7774,48986,6428,9881,1297
Nebraska,238000,111841,12304,5782,94850,4903,16206,838
New Hampshire,155150,80639,11411,5931,70281,5169,10319,759
New Jersey,923300,432220,10395,4866,381159,4291,49420,556
New Mexico,237725,152465,11337,7271,122956,5864,27014,1288
Nevada,278175,115991,9031,3766,95837,3111,19296,626
New York State,2213975,1116441,11381,5739,982183,5049,120801,621
Ohio,1122300,487481,9601,4170,456424,3905,30910,264
Oklahoma,490500,267434,12396,6759,230902,5835,34706,877
Oregon,479325,216928,11365,5143,192550,4565,23866,566
Pennsylvania,1344375,605428,10501,4729,508391,3971,96395,753
Rhode Island,127450,59014,12031,5571,47859,4518,11136,1051
South Carolina,443375,209631,8611,4072,173906,3378,34277,666
South Dakota,99300,65377,11225,7390,54531,6164,10796,1220
Tennessee,723825,375669,10599,5501,313154,4586,61743,904
Texas,2754800,1544551,9501,5327,1337706,4613,205538,709
Utah,337825,189578,10537,5913,166334,5188,17275,539
Virginia,992375,362092,11626,4242,320175,3751,40340,473
Vermont,78875,42835,12640,6865,36233,5807,6545,1049
Washington,820875,373423,10780,4904,306942,4031,55902,734
Wisconsin,577325,238758,9916,4101,204746,3517,32268,554
West Virginia,231800,167548,12934,9349,135950,7586,31587,1763
Wyoming,67450,29309,11654,5064,25841,4465,3441,595
